subcorridor,direction,stopOrderCor,stopId,stopName,depTime,tripCount,m_dwellTime,m_travelTime,m_runTime,sd_dwellTime,sd_travelTime,sd_runTime,p10_travelTime,p90_travelTime,p95_travelTime
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T16:20:00Z,20,56.96675,36.6571,93.62384999999999,60.4966288759569,26.04072109297485,65.41775290777443,11.249900000000002,66.51980000000006,99.11229999999999
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T16:30:00Z,42,56.83542857142857,29.573785714285712,86.40921428571428,38.11715941617618,18.754761944293186,40.96280355814535,12.844600000000002,44.80759999999999,62.945649999999915
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T16:40:00Z,24,72.3225,33.25304166666667,105.57554166666667,76.87897354933922,37.26554594595875,93.20756265592969,6.3012,73.7354,97.05139999999994
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T16:50:00Z,40,59.3494,40.6402,99.9896,59.394106442841526,20.032340860948597,64.04577821383221,14.422,70.64070000000001,77.32325
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T17:00:00Z,9,79.04755555555556,27.62688888888889,106.67444444444445,57.057867203198,32.736665680259975,60.80820864429224,9.1136,49.66799999999994,80.58199999999997
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T17:10:00Z,46,49.68417391304348,45.829521739130435,95.51369565217391,35.23935027860149,25.469684457967002,50.26053612831158,21.641,72.587,79.4375
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T17:20:00Z,4,47.432,25.02075,72.45275,18.479511032492177,6.565464206741211,16.618027327273236,18.5043,29.761,29.761
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T17:30:00Z,27,42.934814814814814,36.644925925925925,79.57974074074075,34.112153401612694,18.13356425765794,38.98455480610494,22.391000000000002,58.88220000000001,62.1386
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T17:40:00Z,14,41.47092857142857,40.53778571428572,82.00871428571429,40.411355541318,19.422654695280148,43.783935122772654,27.666399999999996,63.105399999999996,72.25264999999999
Broad to 2nd,direction-0,1,6059,13th St,2021-01-01T17:50:00Z,26,32.885423076923075,31.95276923076923,64.83819230769231,20.11319770334509,14.478296005560024,26.50366563178645,20.41,47.8005,56.40425
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T15:00:00Z,11,52.05027272727273,13.135,65.18527272727273,13.336897361012486,2.3747934225949003,13.838756787305057,10.76,13.735,15.999
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T15:10:00Z,31,34.543677419354836,16.525612903225806,51.06929032258065,19.781333767615532,6.386489973255625,23.39952375611314,8.621,22.123,25.859
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T15:20:00Z,16,36.8951875,15.4045,52.2996875,28.276147944203785,9.700087003046244,31.504361822280526,6.316000000000001,26.0675,28.915499999999998
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T15:30:00Z,31,30.714129032258064,24.37374193548387,55.087870967741935,21.14273154654957,7.705465916987075,25.35089856756158,17.209,30.053,38.1865
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T15:40:00Z,14,33.47871428571428,11.5585,45.037214285714285,16.9261512296963,12.645121867283903,23.22232906618631,3.3823,28.620800000000003,34.430299999999995
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T15:50:00Z,23,42.30430434782609,22.116,64.42030434782609,23.95184787601761,10.073300307789355,28.859293923566433,13.0466,38.973200000000006,41.420300000000005
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T16:00:00Z,45,30.75028888888889,21.673044444444443,52.42333333333333,20.534961702403827,7.024051618143437,21.763729188303603,11.932400000000001,28.0414,28.7022
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T16:10:00Z,25,33.34712,20.73304,54.08016,26.38172325101856,7.201569721711139,27.04549760385266,13.9318,35.236,35.236
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T16:20:00Z,20,50.7744,14.531,65.3054,29.696265993165575,14.647533408303543,34.54102402772985,3.8318000000000003,18.263,20.95445000000004
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T16:30:00Z,42,57.76230952380953,19.836261904761905,77.59857142857143,87.11498743992308,15.419790517794322,89.22167540297754,6.027500000000002,29.597099999999998,45.36249999999999
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T16:40:00Z,24,53.038624999999996,26.577375,79.616,28.58601839424073,35.06848385387915,45.52090832840969,8.3633,38.82409999999999,46.455849999999984
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T16:50:00Z,40,49.497625,27.08265,76.580275,35.91011707218205,29.079628300229132,52.79674703993949,10.9131,46.65400000000002,61.40874999999993
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T17:00:00Z,9,64.60222222222222,9.967444444444444,74.56966666666666,33.028305068447644,14.376023521049824,44.66334349329436,2.2573999999999996,27.269399999999983,35.63019999999999
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T17:10:00Z,46,50.439195652173915,22.032434782608696,72.47163043478261,27.470657060959965,13.094794914438626,32.92489689875612,11.006,39.789500000000004,47.20575
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T17:20:00Z,4,45.6005,18.227,63.8275,19.328245764510893,4.022980735723203,15.682622601678162,15.843,22.0482,23.126099999999997
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T17:30:00Z,27,40.47562962962963,29.082037037037036,69.55766666666666,33.94590940706898,16.44130478745407,36.2109742630176,14.493200000000002,49.7806,63.351399999999984
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T17:40:00Z,14,47.59907142857143,18.948642857142858,66.54771428571428,23.36444858018361,10.580708109262186,29.420403167316937,10.1634,30.159300000000005,36.939499999999995
Broad to 2nd,direction-0,2,6058,12th St,2021-01-01T17:50:00Z,26,53.49565384615384,18.517115384615384,72.01276923076922,47.614004843904745,7.493673770998698,47.27443191265883,9.4525,28.542,30.43925
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T15:00:00Z,11,37.904363636363634,19.32572727272727,57.23009090909091,21.67731671251185,2.974460996244835,22.701346940014577,15.478,21.104,21.569
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T15:10:00Z,31,30.53451612903226,14.95458064516129,45.48909677419355,20.804035239781356,8.262761950559444,23.763264289451534,6.847,18.72,33.2645
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T15:20:00Z,16,35.855125,11.14275,46.997875,29.215354789048856,5.055627419025258,31.26694895012943,5.8045,17.3005,20.950249999999997
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T15:30:00Z,31,37.36490322580645,22.550290322580647,59.915193548387094,25.841033791697573,11.255323407743699,26.358983328167717,10.043,35.244,38.7255
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T15:40:00Z,14,30.7805,22.429214285714284,53.209714285714284,17.516203565446304,3.576635251151593,17.804177225620922,18.864,26.534400000000005,28.3324
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T15:50:00Z,23,37.45517391304348,22.33626086956522,59.7914347826087,23.69706360146792,11.322823596682102,23.81648380052256,12.5808,38.30360000000001,45.901999999999994
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T16:00:00Z,45,39.51522222222222,19.286133333333332,58.80135555555555,25.312556266953298,9.349689925825931,26.2546762442215,8.322000000000001,30.420800000000007,38.69979999999998
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T16:10:00Z,25,30.52888,23.8176,54.34648,22.171389911550428,8.88854043136442,26.264200692387348,14.728200000000001,32.0672,38.53279999999998
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T16:20:00Z,20,25.01415,18.05375,43.0679,21.086700106877046,13.431869293723945,21.271263003849757,8.937899999999999,42.40870000000001,47.33235000000001
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T16:30:00Z,42,27.743190476190478,19.473904761904762,47.21709523809524,21.720908216916527,5.412841982930214,22.944715481506716,12.527800000000001,25.244799999999994,27.691449999999993
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T16:40:00Z,24,32.760708333333334,19.759958333333334,52.52066666666667,17.45995415223615,5.0834930175085296,20.0426744845281,13.1705,24.21,24.21
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T16:50:00Z,40,33.55275,19.614475,53.167225,38.67205958308189,8.784001147154134,39.2185930614206,13.6078,32.73650000000001,40.71929999999999
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T17:00:00Z,9,38.343777777777774,24.116666666666667,62.46044444444444,30.128106083762457,14.443683299283462,39.86954018768937,14.148200000000001,43.131199999999986,49.91759999999999
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T17:10:00Z,46,28.47563043478261,16.305,44.78063043478261,22.80401876313198,6.0234752722623135,25.675725277960023,12.072,21.955,25.151249999999997
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T17:20:00Z,4,32.894,14.58475,47.47875,30.041191088237493,5.044618213172,25.329948656021127,9.7257,18.3128,18.6374
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T17:30:00Z,27,23.74662962962963,16.365407407407407,40.11203703703704,22.847929987281205,9.52301020710145,23.641545738026327,7.215800000000001,24.799,25.788099999999996
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T17:40:00Z,14,20.079142857142855,18.213285714285714,38.29242857142857,25.01559617782211,10.20855510327996,28.65413822902988,8.6181,32.6578,34.375699999999995
Broad to 2nd,direction-0,3,6057,11th St,2021-01-01T17:50:00Z,26,24.85603846153846,18.1625,43.01853846153846,20.362058191608764,8.917851733461372,23.990663360950684,11.616,20.849,21.25625
Broad to 2nd,direction-0,4,14908,10th St,2021-01-01T15:00:00Z,11,33.482727272727274,22.691454545454544,56.17418181818182,38.06367577649565,2.554705750713235,38.67065985942878,20.816,23.718,25.015
Broad to 2nd,direction-0,4,14908,10th St,2021-01-01T15:10:00Z,31,33.450774193548384,16.724870967741936,50.17564516129032,15.549945994996634,5.634735940230831,15.374742999582978,11.656,22.72,26.6025
Broad to 2nd,direction-0,4,14908,10th St,2021-01-01T15:20:00Z,16,27.5385,28.700937500000002,56.2394375,13.473189476388532,12.200825001989278,22.747332072043818,17.4015,44.707,53.389250000000004
Broad to 2nd,direction-0,4,14908,10th St,2021-01-01T15:30:00Z,31,29.763548387096773,16.570645161290322,46.3341935483871,13.747101223745826,5.1885603626207475,14.133350615758353,8.508,21.602,22.2855
Broad to 2nd,direction-0,4,14908,10th St,2021-01-01T15:40:00Z,14,41.782785714285716,14.089642857142858,55.87242857142857,25.609681682395557,10.12509369838615,28.342615955250377,7.5832,29.535200000000017,35.53555
Broad to 2nd,direction-0,4,14908,10th St,2021-01-01T15:50:00Z,23,38.14134782608696,16.280695652173915,54.42204347826087,14.615361251432734,6.202418549058707,15.213409451348745,11.133,27.409800000000004,28.0775
Broad to 2nd,direction-0,4,14908,10th St,2021-01-01T16:00:00Z,45,29.69208888888889,18.105,47.79708888888889,27.847650188792837,7.698117751053884,29.041477216233513,11.644000000000002,24.002000000000002,31.19039999999999
