stop_id,stop_name,agency_id,stop_lat,stop_lon,daily_ons,daily_offs,average_load
SEPTA23381,Knights Rd & Virgina Av,SEPTA,40.104109,-74.951677,44,3,11.64179104477612
SEPTA23382,Knights Rd & Dunks Ferry Rd,SEPTA,40.101441,-74.954357,12,4,11.805970149253731
SEPTA23383,Knights Rd & Plum Av,SEPTA,40.097966,-74.958132,3,1,11.94
SEPTA23384,Knights Rd & McCarthy Cir,SEPTA,40.095117,-74.96028,0,0,11.701492537313433
SEPTA23385,Knights Rd & Mechanicsville Rd,SEPTA,40.093571,-74.962089,1,17,11.417910447761194
SEPTA23386,Academy Rd & Byberry Rd,SEPTA,40.096177,-74.976697,72,10,10.491071428571429
SEPTA23387,Academy Rd & Fairdale Rd - FS,SEPTA,40.094970000000004,-74.978527,39,3,10.955752212389381
SEPTA23388,Academy Rd & Woodhaven Rd - FS,SEPTA,40.093522,-74.980477,73,5,11.486486486486486
SEPTA23389,Academy Rd & Brandon Rd,SEPTA,40.091896,-74.982487,24,6,11.684684684684685
SEPTA23390,Decatur Rd & Drummond Rd - MBFS,SEPTA,40.086619,-74.999959,4,0,17.032258064516128
SEPTA23391,Red Lion Rd & Decatur Rd - MBFS,SEPTA,40.08346,-75.001466,22,1,17.677419354838708
SEPTA23392,Red Lion Rd & Drummond Rd,SEPTA,40.081403,-74.998973,11,1,18.032258064516128
SEPTA23393,Red Lion Rd & Academy Rd,SEPTA,40.080122,-74.997454,5,2,18
SEPTA23394,Academy Rd & Morrell Av - FS,SEPTA,40.07844,-74.999002,53,1,14.793103448275861
SEPTA23395,Academy Rd & Morrell Av - MBFS,SEPTA,40.07731,-74.99992,3,0,14.818965517241379
SEPTA23396,Academy Rd & Avalon St,SEPTA,40.076019,-75.001028,4,1,14.913793103448276
SEPTA23397,Academy Rd & President St,SEPTA,40.075263,-75.001624,7,1,14.982758620689655
SEPTA23398,Academy Rd & Glenn St,SEPTA,40.074497,-75.002125,0,0,14.982758620689655
SEPTA23399,Ashton Rd & Grant Av - FS,SEPTA,40.071839,-75.013461,24,13,13.25
SEPTA23400,Ashton Rd & Grant Av - MBFS,SEPTA,40.070265,-75.014973,10,7,13.285714285714286
SEPTA23401,Ashton Rd & Norcross Ln,SEPTA,40.068494,-75.016757,38,15,13.642857142857142
SEPTA23402,Ashton Rd & Woodbridge Rd,SEPTA,40.066493,-75.018744,52,16,14.232142857142858
SEPTA23404,Ashton Rd & Ryerson Rd,SEPTA,40.064615,-75.020576,3,1,14.285714285714286
SEPTA23405,Ashton Rd & Tremont St,SEPTA,40.062676,-75.022492,95,24,17.40740740740741
SEPTA23406,Ashton Rd & Maxwell St,SEPTA,40.061413,-75.023764,6,3,17.513761467889907
SEPTA23407,Ashton Rd & Tolbut St,SEPTA,40.060505,-75.024704,7,5,17.59633027522936
SEPTA23408,Ashton Rd & Tolbut St - MBFS,SEPTA,40.059037,-75.02619,10,2,17.743119266055047
SEPTA23409,Ashton Rd & Jenny Pl,SEPTA,40.058334,-75.026904,0,0,17.743119266055047
SEPTA23410,Ashton Rd & Old Ashton Rd,SEPTA,40.057721,-75.02751,0,1,17.724770642201836
SEPTA23411,Ashton Rd & Holme Cir,SEPTA,40.056813,-75.028414,55,29,17.945454545454545
SEPTA23412,Holme Av & Stamford St,SEPTA,40.056821,-75.030957,54,3,18.62608695652174
SEPTA23413,Holme Av & Winchester Av,SEPTA,40.057241,-75.03403,18,1,18.843478260869563
SEPTA23414,Holme Av & Revere St - MBNS,SEPTA,40.058649,-75.038882,0,1,18.83478260869565
SEPTA23415,Holme Av & Revere St,SEPTA,40.058031,-75.041204,18,4,18.91304347826087
SEPTA23416,Holme Av & Fairfield St,SEPTA,40.058331,-75.04274,13,59,18.617391304347827
SEPTA23418,Champlost St & 11th St,SEPTA,40.043781,-75.138014,0,0,6.290322580645161
SEPTA23419,11th St & Spencer St,SEPTA,40.045146,-75.137808,0,0,6.225806451612903
SEPTA23420,11th St & Godfrey Av,SEPTA,40.046537,-75.137507,1,7,5.935483870967742
SEPTA23421,11th St & Medary Av,SEPTA,40.048287,-75.13757,0,2,5.870967741935484
SEPTA23422,11th St & Chelten Av,SEPTA,40.049473,-75.1374,4,2,5.935483870967742
SEPTA23423,11th St & 65th Av,SEPTA,40.051329,-75.136979,2,1,5.870967741935484
SEPTA23424,11th St & 66th Av,SEPTA,40.05289,-75.136629,15,6,6.064516129032258
SEPTA23425,11th St & Oak Ln,SEPTA,40.054844,-75.136207,2,12,5.741935483870968
SEPTA23426,11th St & 69th Av,SEPTA,40.057217,-75.135677,1,0,5.741935483870968
SEPTA23427,69th Av & 12th St,SEPTA,40.057407,-75.136741,2,7,5.709677419354839
SEPTA23428,12th St & Lakeside Av,SEPTA,40.058486,-75.136594,0,0,5.67741935483871
SEPTA23429,70th Av & 12th St,SEPTA,40.059191,-75.136308,0,1,5.612903225806452
SEPTA23430,70th Av & Cheltenham Av,SEPTA,40.059755,-75.133514,4,1,5.870967741935484
SEPTA23431,Mountain Av & Valley Rd,SEPTA,40.060374,-75.130993,1,0,5.935483870967742
SEPTA23432,Mountain Av & Sharpless Rd - FS,SEPTA,40.061511,-75.128634,0,0,5.870967741935484
SEPTA23433,Mountain Av & Stratford Av - FS,SEPTA,40.062384,-75.127767,0,0,5.838709677419355
SEPTA23434,Mountain Av & Prospect Av,SEPTA,40.063979,-75.126968,0,0,5.838709677419355
SEPTA23435,Mountain Av & Union Av,SEPTA,40.066059,-75.127149,0,1,5.806451612903226
