stop_id,agency_id,route_id
14880,SEPTA,42
14880,SEPTA,9
14881,SEPTA,21
14881,SEPTA,42
14881,SEPTA,9
14882,SEPTA,12
14882,SEPTA,21
14882,SEPTA,42
14882,SEPTA,9
14883,SEPTA,12
14883,SEPTA,21
14883,SEPTA,42
14883,SEPTA,61
14883,SEPTA,62
14883,SEPTA,9
14884,SEPTA,12
14884,SEPTA,21
14884,SEPTA,42
14884,SEPTA,9
14885,SEPTA,12
14885,SEPTA,21
14885,SEPTA,42
14885,SEPTA,9
14886,SEPTA,12
14886,SEPTA,21
14886,SEPTA,42
14886,SEPTA,9
14887,SEPTA,12
14887,SEPTA,21
14887,SEPTA,42
14887,SEPTA,9
14888,SEPTA,6
14889,SEPTA,6
1489,SEPTA,58
1489,SEPTA,WR3
1489,SEPTA,WR6
14890,SEPTA,6
14891,SEPTA,65
14891,SEPTA,9
14892,SEPTA,65
14892,SEPTA,9
14893,SEPTA,9
14895,SEPTA,6
14899,SEPTA,6
14900,SEPTA,6
14901,SEPTA,6
14902,SEPTA,6
14903,SEPTA,6
14906,SEPTA,21
14906,SEPTA,42
14906,SEPTA,9
14907,SEPTA,21
14907,SEPTA,42
14907,SEPTA,9
14908,SEPTA,21
14908,SEPTA,38
14908,SEPTA,42
14908,SEPTA,9
14909,SEPTA,21
14909,SEPTA,42
14909,SEPTA,9
14910,SEPTA,33
14910,SEPTA,331
14911,SEPTA,32
14911,SEPTA,33
14911,SEPTA,331
14912,SEPTA,32
14912,SEPTA,33
14912,SEPTA,331
14913,SEPTA,17
14913,SEPTA,33
14913,SEPTA,48
14913,SEPTA,711
14915,SEPTA,21
14915,SEPTA,42
14916,SEPTA,33
14916,SEPTA,38
14916,SEPTA,49
14917,SEPTA,33
14917,SEPTA,49
14918,SEPTA,33
14919,SEPTA,33
1492,SEPTA,19
14920,SEPTA,33
14920,SEPTA,49
14921,SEPTA,33
14921,SEPTA,49
14922,SEPTA,33
14923,SEPTA,17
14924,SEPTA,33
14924,SEPTA,39
14926,SEPTA,48
14926,SEPTA,7
14927,SEPTA,48
14927,SEPTA,7
14928,SEPTA,48
14929,SEPTA,17
14930,SEPTA,17
14930,SEPTA,33
14930,SEPTA,48
14931,SEPTA,48
14931,SEPTA,5
14932,SEPTA,48
14933,SEPTA,48
14933,SEPTA,61
14934,SEPTA,27
14935,SEPTA,48
14937,SEPTA,48
14938,SEPTA,48
14939,SEPTA,32
14939,SEPTA,48
14939,SEPTA,7
14941,SEPTA,32
14941,SEPTA,48
14942,SEPTA,48
14942,SEPTA,49
14943,SEPTA,48
14943,SEPTA,49
14947,SEPTA,48
14948,SEPTA,32
14948,SEPTA,48
14949,SEPTA,48
1495,SEPTA,67
1495,SEPTA,WR3
1495,SEPTA,WR5
14950,SEPTA,60
14951,SEPTA,48
14951,SEPTA,60
14952,SEPTA,124
14953,SEPTA,123
14953,SEPTA,124
14953,SEPTA,125
14954,SEPTA,17
14956,SEPTA,17
14958,SEPTA,17
14959,SEPTA,17
14960,SEPTA,17
14961,SEPTA,17
14962,SEPTA,124
14963,SEPTA,124
14964,SEPTA,124
14964,SEPTA,92
14965,SEPTA,124
14965,SEPTA,92
14967,SEPTA,124
14967,SEPTA,99
14968,SEPTA,124
14968,SEPTA,99
14969,SEPTA,124
14969,SEPTA,99
14970,SEPTA,124
14970,SEPTA,99
14972,SEPTA,124
14974,SEPTA,124
14975,SEPTA,124
14975,SEPTA,125
14977,SEPTA,125
14978,SEPTA,123
14978,SEPTA,124
14978,SEPTA,125
14978,SEPTA,99
14979,SEPTA,125
14982,SEPTA,125
14982,SEPTA,99
14983,SEPTA,125
14983,SEPTA,99
14984,SEPTA,125
14984,SEPTA,139
14986,SEPTA,125
14989,SEPTA,27
14989,SEPTA,95
14989,SEPTA,97
14990,SEPTA,27
14991,SEPTA,27
14993,SEPTA,27
14995,SEPTA,27
14995,SEPTA,65
14995,SEPTA,9
14996,SEPTA,27
14996,SEPTA,32
14996,SEPTA,4
14996,SEPTA,701
14997,SEPTA,27
14998,SEPTA,104
14998,SEPTA,92
14999,SEPTA,27
14999,SEPTA,97
150,SEPTA,4
15002,SEPTA,108
15002,SEPTA,68
15003,SEPTA,60
15004,SEPTA,60
15005,SEPTA,1
15005,SEPTA,60
15005,SEPTA,R
15006,SEPTA,1
15006,SEPTA,60
15006,SEPTA,R
15007,SEPTA,1
15007,SEPTA,60
15007,SEPTA,R
15009,SEPTA,60
15011,SEPTA,60
15012,SEPTA,60
15013,SEPTA,60
15014,SEPTA,60
15015,SEPTA,60
15016,SEPTA,60
15018,SEPTA,60
15019,SEPTA,60
15020,SEPTA,60
15021,SEPTA,60
15022,SEPTA,60
15023,SEPTA,60
15024,SEPTA,60
15025,SEPTA,60
15026,SEPTA,60
15027,SEPTA,60
15028,SEPTA,60
15029,SEPTA,60
15030,SEPTA,60
15031,SEPTA,60
15032,SEPTA,60
15033,SEPTA,60
15034,SEPTA,60
15035,SEPTA,60
15036,SEPTA,60
15037,SEPTA,60
15039,SEPTA,60
15040,SEPTA,60
15041,SEPTA,60
15042,SEPTA,60
15043,SEPTA,60
15044,SEPTA,60
15053,SEPTA,108
15053,SEPTA,115
15053,SEPTA,37
15054,SEPTA,108
15054,SEPTA,115
15054,SEPTA,37
15054,SEPTA,WPS
15056,SEPTA,111
15057,SEPTA,111
15060,SEPTA,110
15060,SEPTA,111
15062,SEPTA,110
15062,SEPTA,111
15062,SEPTA,114
15062,SEPTA,117
15065,SEPTA,110
15065,SEPTA,111
15065,SEPTA,114
15065,SEPTA,117
15067,SEPTA,110
15067,SEPTA,111
15067,SEPTA,114
15067,SEPTA,117
15068,SEPTA,110
15068,SEPTA,111
15068,SEPTA,114
15068,SEPTA,117
15069,SEPTA,110
15069,SEPTA,111
15069,SEPTA,114
15069,SEPTA,117
15071,SEPTA,111
15073,SEPTA,111
15075,SEPTA,111
15076,SEPTA,111
15077,SEPTA,111
15078,SEPTA,111
15078,SEPTA,119
15079,SEPTA,111
15079,SEPTA,119
1508,SEPTA,WR1
1508,SEPTA,WR6
15080,SEPTA,111
15080,SEPTA,119
15088,SEPTA,111
15091,SEPTA,111
15092,SEPTA,111
15094,SEPTA,110
15094,SEPTA,111
15095,SEPTA,110
15095,SEPTA,111
15096,SEPTA,110
15096,SEPTA,111
15097,SEPTA,110
15097,SEPTA,111
15098,SEPTA,110
15098,SEPTA,111
15099,SEPTA,110
15099,SEPTA,111
15102,SEPTA,110
15102,SEPTA,111
15105,SEPTA,111
15106,SEPTA,111
15107,SEPTA,111
15108,SEPTA,111
15109,SEPTA,111
15110,SEPTA,111
15111,SEPTA,111
15112,SEPTA,111
15113,SEPTA,111
15114,SEPTA,111
15115,SEPTA,111
15116,SEPTA,110
15116,SEPTA,111
15117,SEPTA,110
15117,SEPTA,111
15118,SEPTA,110
15118,SEPTA,111
15120,SEPTA,111
15123,SEPTA,111
15125,SEPTA,111
15132,SEPTA,111
15132,SEPTA,119
15133,SEPTA,111
15133,SEPTA,119
15134,SEPTA,111
15135,SEPTA,111
15136,SEPTA,111
15138,SEPTA,111
15139,SEPTA,111
15141,SEPTA,111
15143,SEPTA,111
15152,SEPTA,110
15152,SEPTA,111
15152,SEPTA,114
15152,SEPTA,117
15153,SEPTA,110
15153,SEPTA,111
15153,SEPTA,114
15153,SEPTA,117
15154,SEPTA,110
15154,SEPTA,111
15154,SEPTA,114
15154,SEPTA,117
15178,SEPTA,95
15178,SEPTA,97
15185,SEPTA,27
15185,SEPTA,32
15185,SEPTA,4
15186,SEPTA,27
15186,SEPTA,32
15186,SEPTA,4
15186,SEPTA,701
15187,SEPTA,27
15187,SEPTA,32
15187,SEPTA,4
15187,SEPTA,701
15188,SEPTA,27
15188,SEPTA,32
15188,SEPTA,4
15189,SEPTA,27
15189,SEPTA,32
15189,SEPTA,4
15190,SEPTA,27
15190,SEPTA,32
15190,SEPTA,4
15190,SEPTA,701
15191,SEPTA,27
15191,SEPTA,32
15191,SEPTA,4
15191,SEPTA,701
15192,SEPTA,27
15192,SEPTA,32
15192,SEPTA,4
15193,SEPTA,27
15193,SEPTA,32
15193,SEPTA,4
15194,SEPTA,27
15194,SEPTA,32
15194,SEPTA,4
15195,SEPTA,27
15195,SEPTA,32
15195,SEPTA,4
15196,SEPTA,27
15196,SEPTA,32
15196,SEPTA,4
15197,SEPTA,124
15197,SEPTA,99
1520,SEPTA,84
1520,SEPTA,WR1
1520,SEPTA,WR6
15202,SEPTA,27
15202,SEPTA,32
15210,SEPTA,64
1522,SEPTA,20
1522,SEPTA,50
15229,SEPTA,40
15230,SEPTA,40
15231,SEPTA,53
15232,SEPTA,104
15232,SEPTA,118
1524,SEPTA,20
1524,SEPTA,67
1524,SEPTA,84
1524,SEPTA,WR5
15262,SEPTA,128
15267,SEPTA,113
15267,SEPTA,119
15269,SEPTA,128
15271,SEPTA,46
15272,SEPTA,7
15283,SEPTA,79
15287,SEPTA,132
15288,SEPTA,132
15301,SEPTA,206
1537,SEPTA,124
1537,SEPTA,125
1537,SEPTA,30
1537,SEPTA,44
1537,SEPTA,62
1537,SEPTA,9
15383,SEPTA,107
15384,SEPTA,107
15392,SEPTA,9
15393,SEPTA,111
15393,SEPTA,119
15396,SEPTA,2
15397,SEPTA,2
15398,SEPTA,2
15399,SEPTA,2
15400,SEPTA,2
15401,SEPTA,2
15402,SEPTA,2
15402,SEPTA,68
15403,SEPTA,2
15404,SEPTA,2
15420,SEPTA,77
15421,SEPTA,18
15421,SEPTA,77
15422,SEPTA,16
15422,SEPTA,22
15422,SEPTA,802
15424,SEPTA,18
15427,SEPTA,23
15427,SEPTA,710
15427,SEPTA,77
15428,SEPTA,18
15429,SEPTA,23
15429,SEPTA,77
15430,SEPTA,23
15430,SEPTA,77
15431,SEPTA,18
15432,SEPTA,18
15433,SEPTA,23
15433,SEPTA,77
15434,SEPTA,23
15434,SEPTA,77
15435,SEPTA,23
15435,SEPTA,77
15436,SEPTA,23
15437,SEPTA,23
15439,SEPTA,23
15440,SEPTA,23
15441,SEPTA,23
15442,SEPTA,23
15443,SEPTA,23
15444,SEPTA,23
15447,SEPTA,710
