stop_id,agency_id,stop_name
14993,SEPTA,Port Royal  Av Ridge Av - FS
14995,SEPTA,Ridge Av & Osborn St - MBNS
14996,SEPTA,Broad St & South St
14997,SEPTA,Henry Av & Cheswick Rd - MBNS
14998,SEPTA,NA
14999,SEPTA,Ridge Pk & Crescent Av
150,SEPTA,Broad St & Geary St
15002,SEPTA,Church Ln & Baltimore Av
15003,SEPTA,Allegheny Av & Emerald St
15004,SEPTA,Allegheny Av & 3rd St
15005,SEPTA,Allegheny Av & 34th St
15006,SEPTA,Allegheny Av & 33rd St
15007,SEPTA,Allegheny Av & 32nd St
15009,SEPTA,Allegheny Av & 29th St
15011,SEPTA,Allegheny Av & 25th St
15012,SEPTA,Allegheny Av & 24th St
15013,SEPTA,Allegheny Av & 23rd St
15014,SEPTA,Allegheny Av & 21st St
15015,SEPTA,Allegheny Av & 20th St
15016,SEPTA,Allegheny Av & 19th St
15018,SEPTA,Allegheny Av & 17th St
15019,SEPTA,Allegheny Av & 16th St
15020,SEPTA,Allegheny Av & 15th St
15021,SEPTA,Allegheny Av & 13th St
15022,SEPTA,Allegheny Av & Germantown Av
15023,SEPTA,Sedgley Av & 9th St - MBNS
15024,SEPTA,Allegheny Av & Glenwood Av
15025,SEPTA,Allegheny Av & 3rd St
15026,SEPTA,Allegheny Av & 2nd St
15027,SEPTA,Allegheny Av & Front St
15028,SEPTA,Allegheny Av & A St
15029,SEPTA,Allegheny Av & B St
15030,SEPTA,Allegheny Av & C St
15031,SEPTA,Allegheny Av & D St
15032,SEPTA,Allegheny Av & E St
15033,SEPTA,Allegheny Av & F St
15034,SEPTA,Allegheny Av & G St
15035,SEPTA,Allegheny Av & Jasper St
15036,SEPTA,Allegheny Av & Emerald St
15037,SEPTA,Allegheny Av & Frankford Av
15039,SEPTA,Allegheny Av & Tulip St
15040,SEPTA,Allegheny Av & Aramingo Av
15041,SEPTA,Allegheny Av & Gaul St
15042,SEPTA,Allegheny Av & Belgrade St
15043,SEPTA,Allegheny Av & Almond St
15044,SEPTA,Allegheny Av & Emery St
15053,SEPTA,84th St & Crane St - FS
15054,SEPTA,84th St & Crane St
15056,SEPTA,State Rd & Anderson Av
15057,SEPTA,State Rd & Stanbridge Rd
15060,SEPTA,State Rd & Penarth Av - FS
15062,SEPTA,Granite Run Mall - 1
15065,SEPTA,Middletown Rd & Yearsley Mill Rd - MBNS
15067,SEPTA,Middletown Rd & Juv Det Center
15068,SEPTA,Middletown Rd & Old Forge Rd
15069,SEPTA,Fair Acres - onsite
15071,SEPTA,Baltimore Pk & Granite Farms Estates - FS
15073,SEPTA,Baltimore Pk & Walnut Hill Blvd
15075,SEPTA,Baltimore Pk & Powell Rd. - MBFS
15076,SEPTA,Baltimore Pk & School House Ln
15077,SEPTA,Baltimore Pk & Cheyney Rd
15078,SEPTA,Baltimore Pk & Scott Rd
15079,SEPTA,Baltimore Pk & Thornton Rd - FS
1508,SEPTA,NA
15080,SEPTA,Baltimore Pk & Concord Rd
15088,SEPTA,Baltimore Pk & Brinton Lake Rd - FS
15091,SEPTA,State Farm Dr & Pond Dr
15092,SEPTA,Wilmington Pk & Brandywine Dr - FS
15094,SEPTA,State Rd & Arlington Av - FS
15095,SEPTA,State Rd & Beverly Blvd
15096,SEPTA,State Rd & Merion Av - FS
15097,SEPTA,State Rd & Hilltop Rd
15098,SEPTA,State Rd & Penarth Av
15099,SEPTA,State Rd & Sellers Av
15102,SEPTA,State Rd & Highland Av
15105,SEPTA,State Rd & Hampshire Rd
15106,SEPTA,State Rd & Kenwood Rd
15107,SEPTA,State Rd & Shadeland Av
15108,SEPTA,State Rd & Turner Av
15109,SEPTA,State Rd & Mason Av
15110,SEPTA,State Rd & Ormond Av
15111,SEPTA,State Rd & Cornell Av
15112,SEPTA,State Rd & Morgan Av
15113,SEPTA,State Rd & Childs Av
15114,SEPTA,State Rd & Clarendon Rd
